"fecha","nombre","cdma","gsma","umts","hspa+","lte"
"2020-12","cnt",0,88328,0,42633,2695427
"2021-01","cnt",0,88262,0,42686,2666120
"2021-02","cnt",0,93850,0,42653,2695261
"2021-03","cnt",0,93688,0,42531,2691027
"2021-04","cnt",0,93521,0,42362,2679011
"2021-05","cnt",0,92587,0,42289,2690525
"2021-06","cnt",0,92587,0,42289,2690525
"2021-07","cnt",0,92587,0,42289,2690525
"2021-08","cnt",0,92587,0,42289,2690525
"2021-09","cnt",0,92587,0,42289,2690525
